PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Braund, Mr. Owen Harris",1,22,1,0,A/5 21171,7.25,0,1
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",2,38,1,0,PC 17599,71.2833,3,2
3,1,3,"Heikkinen, Miss. Laina",2,26,0,0,STON/O2. 3101282,7.925,0,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",2,35,1,0,113803,53.1,3,1
5,0,3,"Allen, Mr. William Henry",1,35,0,0,373450,8.05,0,1
6,0,3,"Moran, Mr. James",1,0,0,0,330877,8.4583,0,3
7,0,1,"McCarthy, Mr. Timothy J",1,54,0,0,17463,51.8625,5,1
8,0,3,"Palsson, Master. Gosta Leonard",1,2,3,1,349909,21.075,0,1
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,27,0,2,347742,11.1333,0,1
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",2,14,1,0,237736,30.0708,0,2
11,1,3,"Sandstrom, Miss. Marguerite Rut",2,4,1,1,PP 9549,16.7,7,1
12,1,1,"Bonnell, Miss. Elizabeth",2,58,0,0,113783,26.55,3,1
13,0,3,"Saundercock, Mr. William Henry",1,20,0,0,A/5. 2151,8.05,0,1
14,0,3,"Andersson, Mr. Anders Johan",1,39,1,5,347082,31.275,0,1
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",2,14,0,0,350406,7.8542,0,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",2,55,0,0,248706,16,0,1
17,0,3,"Rice, Master. Eugene",1,2,4,1,382652,29.125,0,3
18,1,2,"Williams, Mr. Charles Eugene",1,0,0,0,244373,13,0,1
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",2,31,1,0,345763,18,0,1
20,1,3,"Masselmani, Mrs. Fatima",2,0,0,0,2649,7.225,0,2
21,0,2,"Fynney, Mr. Joseph J",1,35,0,0,239865,26,0,1
22,1,2,"Beesley, Mr. Lawrence",1,34,0,0,248698,13,4,1
23,1,3,"McGowan, Miss. Anna ""Annie""",2,15,0,0,330923,8.0292,0,3
24,1,1,"Sloper, Mr. William Thompson",1,28,0,0,113788,35.5,1,1
25,0,3,"Palsson, Miss. Torborg Danira",2,8,3,1,349909,21.075,0,1
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",2,38,1,5,347077,31.3875,0,1
27,0,3,"Emir, Mr. Farred Chehab",1,0,0,0,2631,7.225,0,2
28,0,1,"Fortune, Mr. Charles Alexander",1,19,3,2,19950,263,3,1
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",2,0,0,0,330959,7.8792,0,3
30,0,3,"Todoroff, Mr. Lalio",1,0,0,0,349216,7.8958,0,1
31,0,1,"Uruchurtu, Don. Manuel E",1,40,0,0,PC 17601,27.7208,0,2
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",2,0,1,0,PC 17569,146.5208,2,2
33,1,3,"Glynn, Miss. Mary Agatha",2,0,0,0,335677,7.75,0,3
34,0,2,"Wheadon, Mr. Edward H",1,66,0,0,C.A. 24579,10.5,0,1
35,0,1,"Meyer, Mr. Edgar Joseph",1,28,1,0,PC 17604,82.1708,0,2
36,0,1,"Holverson, Mr. Alexander Oskar",1,42,1,0,113789,52,0,1
37,1,3,"Mamee, Mr. Hanna",1,0,0,0,2677,7.2292,0,2
38,0,3,"Cann, Mr. Ernest Charles",1,21,0,0,A./5. 2152,8.05,0,1
39,0,3,"Vander Planke, Miss. Augusta Maria",2,18,2,0,345764,18,0,1
40,1,3,"Nicola-Yarred, Miss. Jamila",2,14,1,0,2651,11.2417,0,2
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",2,40,1,0,7546,9.475,0,1
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,27,1,0,11668,21,0,1
43,0,3,"Kraeff, Mr. Theodor",1,0,0,0,349253,7.8958,0,2
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",2,3,1,2,SC/Paris 2123,41.5792,0,2
45,1,3,"Devaney, Miss. Margaret Delia",2,19,0,0,330958,7.8792,0,3
46,0,3,"Rogers, Mr. William John",1,0,0,0,S.C./A.4. 23567,8.05,0,1
47,0,3,"Lennon, Mr. Denis",1,0,1,0,370371,15.5,0,3
48,1,3,"O'Driscoll, Miss. Bridget",2,0,0,0,14311,7.75,0,3
49,0,3,"Samaan, Mr. Youssef",1,0,2,0,2662,21.6792,0,2
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",2,18,1,0,349237,17.8,0,1
51,0,3,"Panula, Master. Juha Niilo",1,7,4,1,3101295,39.6875,0,1
52,0,3,"Nosworthy, Mr. Richard Cater",1,21,0,0,A/4. 39886,7.8,0,1
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",2,49,1,0,PC 17572,76.7292,4,2
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,29,1,0,2926,26,0,1
55,0,1,"Ostby, Mr. Engelhart Cornelius",1,65,0,1,113509,61.9792,2,2
56,1,1,"Woolner, Mr. Hugh",1,0,0,0,19947,35.5,3,1
57,1,2,"Rugg, Miss. Emily",2,21,0,0,C.A. 31026,10.5,0,1
58,0,3,"Novel, Mr. Mansouer",1,28.5,0,0,2697,7.2292,0,2
59,1,2,"West, Miss. Constance Mirium",2,5,1,2,C.A. 34651,27.75,0,1
60,0,3,"Goodwin, Master. William Frederick",1,11,5,2,CA 2144,46.9,0,1
61,0,3,"Sirayanian, Mr. Orsen",1,22,0,0,2669,7.2292,0,2
62,1,1,"Icard, Miss. Amelie",2,38,0,0,113572,80,2,0
63,0,1,"Harris, Mr. Henry Birkhardt",1,45,1,0,36973,83.475,3,1
64,0,3,"Skoog, Master. Harald",1,4,3,2,347088,27.9,0,1
65,0,1,"Stewart, Mr. Albert A",1,0,0,0,PC 17605,27.7208,0,2
66,1,3,"Moubarek, Master. Gerios",1,0,1,1,2661,15.2458,0,2
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",2,29,0,0,C.A. 29395,10.5,6,1
68,0,3,"Crease, Mr. Ernest James",1,19,0,0,S.P. 3464,8.1583,0,1
69,1,3,"Andersson, Miss. Erna Alexandra",2,17,4,2,3101281,7.925,0,1
70,0,3,"Kink, Mr. Vincenz",1,26,2,0,315151,8.6625,0,1
71,0,2,"Jenkin, Mr. Stephen Curnow",1,32,0,0,C.A. 33111,10.5,0,1
72,0,3,"Goodwin, Miss. Lillian Amy",2,16,5,2,CA 2144,46.9,0,1
73,0,2,"Hood, Mr. Ambrose Jr",1,21,0,0,S.O.C. 14879,73.5,0,1
74,0,3,"Chronopoulos, Mr. Apostolos",1,26,1,0,2680,14.4542,0,2
75,1,3,"Bing, Mr. Lee",1,32,0,0,1601,56.4958,0,1
76,0,3,"Moen, Mr. Sigurd Hansen",1,25,0,0,348123,7.65,6,1
77,0,3,"Staneff, Mr. Ivan",1,0,0,0,349208,7.8958,0,1
78,0,3,"Moutal, Mr. Rahamin Haim",1,0,0,0,374746,8.05,0,1
79,1,2,"Caldwell, Master. Alden Gates",1,0.83,0,2,248738,29,0,1
80,1,3,"Dowdell, Miss. Elizabeth",2,30,0,0,364516,12.475,0,1
81,0,3,"Waelens, Mr. Achille",1,22,0,0,345767,9,0,1
82,1,3,"Sheerlinck, Mr. Jan Baptist",1,29,0,0,345779,9.5,0,1
83,1,3,"McDermott, Miss. Brigdet Delia",2,0,0,0,330932,7.7875,0,3
84,0,1,"Carrau, Mr. Francisco M",1,28,0,0,113059,47.1,0,1
85,1,2,"Ilett, Miss. Bertha",2,17,0,0,SO/C 14885,10.5,0,1
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",2,33,3,0,3101278,15.85,0,1
87,0,3,"Ford, Mr. William Neal",1,16,1,3,W./C. 6608,34.375,0,1
88,0,3,"Slocovski, Mr. Selman Francis",1,0,0,0,SOTON/OQ 392086,8.05,0,1
89,1,1,"Fortune, Miss. Mabel Helen",2,23,3,2,19950,263,3,1
90,0,3,"Celotti, Mr. Francesco",1,24,0,0,343275,8.05,0,1
91,0,3,"Christmann, Mr. Emil",1,29,0,0,343276,8.05,0,1
92,0,3,"Andreasson, Mr. Paul Edvin",1,20,0,0,347466,7.8542,0,1
93,0,1,"Chaffee, Mr. Herbert Fuller",1,46,1,0,W.E.P. 5734,61.175,5,1
94,0,3,"Dean, Mr. Bertram Frank",1,26,1,2,C.A. 2315,20.575,0,1
95,0,3,"Coxon, Mr. Daniel",1,59,0,0,364500,7.25,0,1
96,0,3,"Shorney, Mr. Charles Joseph",1,0,0,0,374910,8.05,0,1
97,0,1,"Goldschmidt, Mr. George B",1,71,0,0,PC 17754,34.6542,1,2
98,1,1,"Greenfield, Mr. William Bertram",1,23,0,1,PC 17759,63.3583,4,2
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",2,34,0,1,231919,23,0,1
100,0,2,"Kantor, Mr. Sinai",1,34,1,0,244367,26,0,1
101,0,3,"Petranec, Miss. Matilda",2,28,0,0,349245,7.8958,0,1
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",1,0,0,0,349215,7.8958,0,1
103,0,1,"White, Mr. Richard Frasar",1,21,0,1,35281,77.2875,4,1
104,0,3,"Johansson, Mr. Gustaf Joel",1,33,0,0,7540,8.6542,0,1
105,0,3,"Gustafsson, Mr. Anders Vilhelm",1,37,2,0,3101276,7.925,0,1
106,0,3,"Mionoff, Mr. Stoytcho",1,28,0,0,349207,7.8958,0,1
107,1,3,"Salkjelsvik, Miss. Anna Kristine",2,21,0,0,343120,7.65,0,1
108,1,3,"Moss, Mr. Albert Johan",1,0,0,0,312991,7.775,0,1
109,0,3,"Rekic, Mr. Tido",1,38,0,0,349249,7.8958,0,1
110,1,3,"Moran, Miss. Bertha",2,0,1,0,371110,24.15,0,3
111,0,1,"Porter, Mr. Walter Chamberlain",1,47,0,0,110465,52,3,1
112,0,3,"Zabour, Miss. Hileni",2,14.5,1,0,2665,14.4542,0,2
113,0,3,"Barton, Mr. David John",1,22,0,0,324669,8.05,0,1
114,0,3,"Jussila, Miss. Katriina",2,20,1,0,4136,9.825,0,1
115,0,3,"Attalah, Miss. Malake",2,17,0,0,2627,14.4583,0,2
116,0,3,"Pekoniemi, Mr. Edvard",1,21,0,0,STON/O 2. 3101294,7.925,0,1
117,0,3,"Connors, Mr. Patrick",1,70.5,0,0,370369,7.75,0,3
118,0,2,"Turpin, Mr. William John Robert",1,29,1,0,11668,21,0,1
119,0,1,"Baxter, Mr. Quigg Edmond",1,24,0,1,PC 17558,247.5208,2,2
120,0,3,"Andersson, Miss. Ellis Anna Maria",2,2,4,2,347082,31.275,0,1
